EdgeNo,F-Node,T-Node,r,x,b,Switch,SwitchState,maxAmp,type
1420,188,262,0,0,0,Y,1,0,断路器
4811,189,278,0,0,0,Y,1,0,刀闸
4812,190,279,0,0,0,Y,1,0,刀闸
4814,191,280,0,0,0,Y,1,0,刀闸
4959,192,189,0,0,0,Y,1,0,断路器
4961,193,190,0,0,0,Y,1,0,断路器
4962,194,281,0,0,0,Y,1,0,断路器
4963,193,233,0,0,0,Y,0,0,断路器
4966,192,282,0,0,0,Y,1,0,断路器
4968,195,198,0,0,0,Y,1,0,断路器
4971,195,283,0,0,0,Y,1,0,断路器
4972,194,284,0,0,0,Y,1,0,断路器
4975,193,285,0,0,0,Y,1,0,断路器
4976,192,286,0,0,0,Y,1,0,断路器
5254,196,287,0,0,0,Y,1,0,刀闸
5258,197,288,0,0,0,Y,1,0,刀闸
5275,198,289,0,0,0,Y,1,0,刀闸
5280,195,235,0,0,0,Y,1,0,断路器
5383,194,290,0,0,0,Y,1,0,断路器
5384,195,291,0,0,0,Y,1,0,断路器
5385,193,292,0,0,0,Y,1,0,断路器
5390,192,191,0,0,0,Y,1,0,断路器
5391,194,253,0,0,0,Y,1,0,断路器
5393,194,293,0,0,0,Y,1,0,断路器
5394,195,196,0,0,0,Y,1,0,断路器
5398,193,197,0,0,0,Y,1,0,断路器
5399,192,234,0,0,0,Y,1,0,断路器
16566,199,294,0,0,0,Y,1,0,刀闸
16571,200,295,0,0,0,Y,1,0,刀闸
16573,201,236,0,0,0,Y,1,0,刀闸
16574,202,296,0,0,0,Y,1,0,刀闸
16577,203,297,0,0,0,Y,1,0,刀闸
16579,204,266,0,0,0,Y,1,0,刀闸
16584,205,298,0,0,0,Y,1,0,刀闸
16586,206,273,0,0,0,Y,1,0,刀闸
16588,207,299,0,0,0,Y,1,0,刀闸
16591,208,251,0,0,0,Y,1,0,刀闸
16599,209,255,0,0,0,Y,1,0,刀闸
16611,210,300,0,0,0,Y,1,0,刀闸
16612,211,301,0,0,0,Y,1,0,刀闸
16617,212,302,0,0,0,Y,1,0,刀闸
16619,213,269,0,0,0,Y,1,0,刀闸
16621,214,257,0,0,0,Y,1,0,刀闸
16628,215,303,0,0,0,Y,1,0,刀闸
16708,215,206,0,0,0,Y,1,0,断路器
16709,216,304,0,0,0,Y,1,0,断路器
16710,217,274,0,0,0,Y,1,0,断路器
16711,218,305,0,0,0,Y,1,0,断路器
16712,219,263,0,0,0,Y,1,0,断路器
16713,220,271,0,0,0,Y,1,0,断路器
16714,217,248,0,0,0,Y,1,0,断路器
16715,221,306,0,0,0,Y,1,0,断路器
16716,222,307,0,0,0,Y,1,0,断路器
16717,220,272,0,0,0,Y,1,0,断路器
16718,216,244,0,0,0,Y,1,0,断路器
16719,223,240,0,0,0,Y,1,0,断路器
16720,220,308,0,0,0,Y,1,0,断路器
16721,224,212,0,0,0,Y,1,0,断路器
16722,217,256,0,0,0,Y,1,0,断路器
16723,223,309,0,0,0,Y,1,0,断路器
16724,225,310,0,0,0,Y,1,0,断路器
16725,217,311,0,0,0,Y,1,0,断路器
16726,221,205,0,0,0,Y,1,0,断路器
16727,226,312,0,0,0,Y,1,0,断路器
16728,227,313,0,0,0,Y,1,0,断路器
16729,220,314,0,0,0,Y,1,0,断路器
16730,227,214,0,0,0,Y,1,0,断路器
16731,228,315,0,0,0,Y,1,0,断路器
16732,221,209,0,0,0,Y,1,0,断路器
16733,226,316,0,0,0,Y,1,0,断路器
16734,219,264,0,0,0,Y,1,0,断路器
16735,226,317,0,0,0,Y,1,0,断路器
16736,219,250,0,0,0,Y,1,0,断路器
16737,220,318,0,0,0,Y,1,0,断路器
16738,221,260,0,0,0,Y,1,0,断路器
16739,227,199,0,0,0,Y,1,0,断路器
16740,229,319,0,0,0,Y,1,0,断路器
16741,218,207,0,0,0,Y,1,0,断路器
16742,222,320,0,0,0,Y,1,0,断路器
16743,218,321,0,0,0,Y,1,0,断路器
16744,229,261,0,0,0,Y,1,0,断路器
16745,224,210,0,0,0,Y,1,0,断路器
16746,230,322,0,0,0,Y,1,0,断路器
16747,222,323,0,0,0,Y,1,0,断路器
16748,228,237,0,0,0,Y,1,0,断路器
16749,227,203,0,0,0,Y,1,0,断路器
16750,224,213,0,0,0,Y,1,0,断路器
16751,228,324,0,0,0,Y,1,0,断路器
16752,215,200,0,0,0,Y,1,0,断路器
16753,218,201,0,0,0,Y,1,0,断路器
16754,231,325,0,0,0,Y,1,0,断路器
16755,224,326,0,0,0,Y,1,0,断路器
16756,223,327,0,0,0,Y,1,0,断路器
16757,231,328,0,0,0,Y,1,0,断路器
