EdgeNo,F-Node,T-Node,r,x,b,Switch,SwitchState,maxAmp,type
16758,230,329,0,0,0,Y,1,0,断路器
16759,222,330,0,0,0,Y,1,0,断路器
16760,215,211,0,0,0,Y,1,0,断路器
16761,218,331,0,0,0,Y,1,0,断路器
16762,229,332,0,0,0,Y,1,0,断路器
16763,228,270,0,0,0,Y,1,0,断路器
16764,219,333,0,0,0,Y,1,0,断路器
16765,232,334,0,0,0,Y,1,0,断路器
16766,222,335,0,0,0,Y,1,0,断路器
16767,225,336,0,0,0,Y,1,0,断路器
16768,217,337,0,0,0,Y,1,0,断路器
16769,232,338,0,0,0,Y,1,0,断路器
16770,219,339,0,0,0,Y,1,0,断路器
16771,228,241,0,0,0,Y,1,0,断路器
16772,230,340,0,0,0,Y,1,0,断路器
16773,232,341,0,0,0,Y,1,0,断路器
16774,224,202,0,0,0,Y,1,0,断路器
16775,215,208,0,0,0,Y,1,0,断路器
16776,227,204,0,0,0,Y,1,0,断路器
16777,223,243,0,0,0,Y,1,0,断路器
16778,228,239,0,0,0,Y,1,0,断路器
16779,221,342,0,0,0,Y,0,0,断路器
20332,233,282,0.00165,0.00371,0.00000,N,-1,441,交流线
20353,234,284,0.00190,0.00429,0.00000,N,-1,441,交流线
20355,235,281,0.00114,0.00257,0.00000,N,-1,441,交流线
23272,236,316,0.00102,0.00229,0.00000,N,-1,441,交流线
23273,237,343,0.00381,0.00857,0.00000,N,-1,441,交流线
23274,238,331,0.05829,0.13114,0.00000,N,-1,441,交流线
23275,239,344,0.00571,0.01286,0.00000,N,-1,441,交流线
23276,240,300,0.04813,0.10829,0.00000,N,-1,441,交流线
23277,241,345,0.00419,0.00943,0.00000,N,-1,441,交流线
23278,242,254,0.06349,0.14286,0.00000,N,-1,441,交流线
23279,243,334,0.00254,0.00571,0.00000,N,-1,441,交流线
23280,244,346,0.00254,0.00571,0.00000,N,-1,441,交流线
23282,245,321,0.01333,0.03000,0.00000,N,-1,441,交流线
23283,246,295,0.01778,0.04000,0.00000,N,-1,441,交流线
23284,247,297,0.01410,0.03171,0.00000,N,-1,441,交流线
23285,248,347,0.03949,0.08886,0.00000,N,-1,441,交流线
23286,249,258,0.01651,0.03714,0.00000,N,-1,441,交流线
23287,19,347,0.04025,0.09057,0.00000,N,-1,441,交流线
23288,250,348,0.00254,0.00571,0.00000,N,-1,441,交流线
23289,251,339,0.00635,0.01429,0.00000,N,-1,441,交流线
23290,252,308,0.04695,0.10563,0.00000,N,-1,441,交流线
23291,252,342,0.01552,0.03492,0.00000,N,-1,441,交流线
23292,253,349,0.06444,0.14500,0.00000,N,-1,441,交流线
23293,254,285,0.06349,0.14286,0.00000,N,-1,441,交流线
23294,255,336,0.00432,0.00971,0.00000,N,-1,441,交流线
23295,256,328,0.00571,0.01286,0.00000,N,-1,441,交流线
23296,257,246,0.02286,0.05143,0.00000,N,-1,441,交流线
23297,258,335,0.05905,0.13286,0.00000,N,-1,441,交流线
23298,259,265,0.04444,0.10000,0.00000,N,-1,441,交流线
23299,260,309,0.02629,0.05914,0.00000,N,-1,441,交流线
23300,261,296,0.00140,0.00314,0.00000,N,-1,441,交流线
23301,262,268,0.00398,0.00897,0.00000,N,-1,441,交流线
23302,263,350,0.00254,0.00571,0.00000,N,-1,441,交流线
23303,264,351,0.00254,0.00571,0.00000,N,-1,441,交流线
23304,265,242,0.06349,0.14286,0.00000,N,-1,441,交流线
23305,266,315,0.00863,0.01943,0.00000,N,-1,441,交流线
23306,267,320,0.00305,0.00686,0.00000,N,-1,441,交流线
23307,268,267,0.03926,0.08833,0.00000,N,-1,441,交流线
23308,249,301,0.01778,0.04000,0.00000,N,-1,441,交流线
23309,269,247,0.01232,0.02771,0.00000,N,-1,441,交流线
23310,270,352,0.00381,0.00857,0.00000,N,-1,441,交流线
23311,271,322,0.00508,0.01143,0.00000,N,-1,441,交流线
23312,272,238,0.01657,0.03729,0.00000,N,-1,441,交流线
23313,273,304,0.00508,0.01143,0.00000,N,-1,441,交流线
23314,274,245,0.02832,0.06371,0.00000,N,-1,441,交流线
24503,259,275,0.02800,0.06300,0.00000,N,-1,441,交流线
24504,275,276,0.00000,0.00000,0.00000,Y,0,0,断路器
24505,276,222,0.02800,0.06300,0.00000,N,-1,441,交流线
24509,223,277,0.02800,0.06300,0.00000,N,-1,441,交流线
24510,277,108,0.00000,0.00000,0.00000,Y,0,0,断路器
