EdgeNo,F-Node,T-Node,r,x,b,Switch,SwitchState,maxAmp,type
136,20,368,0,0,0,Y,1,0,断路器
4816,353,383,0,0,0,Y,1,0,刀闸
4960,353,373,0,0,0,Y,1,0,断路器
4964,354,367,0,0,0,Y,1,0,断路器
4965,355,380,0,0,0,Y,1,0,断路器
4967,356,376,0,0,0,Y,1,0,断路器
4969,355,366,0,0,0,Y,1,0,断路器
4970,357,375,0,0,0,Y,1,0,断路器
4973,354,363,0,0,0,Y,1,0,断路器
4974,357,384,0,0,0,Y,1,0,断路器
5266,355,385,0,0,0,Y,1,0,刀闸
5270,354,386,0,0,0,Y,1,0,刀闸
5379,356,387,0,0,0,Y,1,0,断路器
5380,357,378,0,0,0,Y,1,0,断路器
5381,357,374,0,0,0,Y,1,0,断路器
5382,358,365,0,0,0,Y,1,0,断路器
5386,358,388,0,0,0,Y,1,0,断路器
5387,353,361,0,0,0,Y,1,0,断路器
5388,357,370,0,0,0,Y,1,0,断路器
5389,358,381,0,0,0,Y,1,0,断路器
5392,359,369,0,0,0,Y,1,0,断路器
5395,358,377,0,0,0,Y,1,0,断路器
5396,356,371,0,0,0,Y,1,0,断路器
5397,359,389,0,0,0,Y,1,0,断路器
5400,356,362,0,0,0,Y,1,0,断路器
20326,360,291,0.03708,0.08343,0.00000,N,-1,441,交流线
20327,361,390,0.00279,0.00629,0.00000,N,-1,441,交流线
20328,279,388,0.00673,0.01514,0.00000,N,-1,441,交流线
20329,362,386,0.00368,0.00829,0.00000,N,-1,441,交流线
20330,363,391,0.00279,0.00629,0.00000,N,-1,441,交流线
20331,289,384,0.00673,0.01514,0.00000,N,-1,441,交流线
20333,278,387,0.00698,0.01571,0.00000,N,-1,441,交流线
20334,364,372,0.06349,0.14286,0.00000,N,-1,441,交流线
20335,365,392,0.00279,0.00629,0.00000,N,-1,441,交流线
20336,366,393,0.00279,0.00629,0.00000,N,-1,441,交流线
20337,367,394,0.00279,0.00629,0.00000,N,-1,441,交流线
20338,368,379,0.06349,0.14286,0.00000,N,-1,441,交流线
20339,287,389,0.00483,0.01086,0.00000,N,-1,441,交流线
20340,369,395,0.00140,0.00314,0.00000,N,-1,441,交流线
20341,370,396,0.00292,0.00657,0.00000,N,-1,441,交流线
20342,371,397,0.00292,0.00657,0.00000,N,-1,441,交流线
20343,372,398,0.06349,0.14286,0.00000,N,-1,441,交流线
20344,373,399,0.00279,0.00629,0.00000,N,-1,441,交流线
20345,374,383,0.00368,0.00829,0.00000,N,-1,441,交流线
20346,360,398,0.05333,0.12000,0.00000,N,-1,441,交流线
20347,375,400,0.00279,0.00629,0.00000,N,-1,441,交流线
20348,376,401,0.00279,0.00629,0.00000,N,-1,441,交流线
20349,377,402,0.00292,0.00657,0.00000,N,-1,441,交流线
20350,378,403,0.00838,0.01886,0.00000,N,-1,441,交流线
20351,379,364,0.05041,0.11343,0.00000,N,-1,441,交流线
20352,380,404,0.00279,0.00629,0.00000,N,-1,441,交流线
20354,381,385,0.00368,0.00829,0.00000,N,-1,441,交流线
24506,357,382,0.02800,0.06300,0.00000,N,-1,441,交流线
24507,382,107,0.00000,0.00000,0.00000,Y,0,0,断路器
